competition_id,name,type,country_id
L1,bundesliga,first_tier,40
DFB,dfb-pokal,domestic_cup,40
DFL,dfl-supercup,domestic_super_cup,40
NL1,eredivisie,first_tier,122
NLP,toto-knvb-beker,domestic_cup,122
NLSC,johan-cruijff-schaal,domestic_super_cup,122
BE1,jupiler-pro-league,first_tier,19
BESC,belgian-supercup,domestic_super_cup,19
ES1,laliga,first_tier,157
CDR,copa-del-rey,domestic_cup,157
SUC,supercopa,domestic_super_cup,157
PO1,liga-portugal-bwin,first_tier,136
POCP,allianz-cup,domestic_cup,136
POSU,supertaca-candido-de-oliveira,domestic_super_cup,136
FR1,ligue-1,first_tier,50
FRCH,trophee-des-champions,domestic_super_cup,50
GB1,premier-league,first_tier,189
CGB,efl-cup,domestic_cup,189
GBCS,community-shield,domestic_super_cup,189
RU1,premier-liga,first_tier,141
RUP,russian-cup,domestic_cup,141
RUSS,russian-super-cup,domestic_super_cup,141
UKR1,premier-liga,first_tier,177
UKRP,ukrainian-cup,domestic_cup,177
UKRS,ukrainian-super-cup,domestic_super_cup,177
SC1,scottish-premiership,first_tier,190
SFA,sfa-cup,domestic_cup,190
IT1,serie-a,first_tier,75
CIT,italy-cup,domestic_cup,75
SCI,supercoppa-italiana,domestic_super_cup,75
GR1,super-league-1,first_tier,56
GRP,kypello-elladas,domestic_cup,56
TR1,super-lig,first_tier,174
DK1,superligaen,first_tier,39
DKP,sydbank-pokalen,domestic_cup,39
USC,uefa-super-cup,uefa_super_cup,-1
CL,uefa-champions-league,uefa_champions_league,-1
EL,europa-league,europa_league,-1
KLUB,fifa-klub-wm,fifa_club_world_cup,-1
ECLQ,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,-1
CLQ,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,-1
ELQ,europa-league-qualifikation,europa_league_qualifying,-1
